Space Group|Serial No.|Multiplicity|Wyckoff Letter|Site Symmetry|Position|||
||2|b|..2|(1/2,y,0)|(0,y,1/2)||
||2|a|..2|(0,y,0)|(1/2,y,1/2)||
P n a 21|164|||||||
||4|a|1|(x,y,z)|(-x,-y,z+1/2)|(x+1/2,-y+1/2,z)|(-x+1/2,y+1/2,z+1/2)
P b n 21|165|||||||
||4|a|1|(x,y,z)|(-x,-y,z+1/2)|(-x+1/2,y+1/2,z)|(x+1/2,-y+1/2,z+1/2)
P 21 n b|166|||||||
||4|a|1|(x,y,z)|(x+1/2,-y,-z)|(x,y+1/2,-z+1/2)|(x+1/2,-y+1/2,z+1/2)
P 21 c n|167|||||||
||4|a|1|(x,y,z)|(x+1/2,-y,-z)|(x,-y+1/2,z+1/2)|(x+1/2,y+1/2,-z+1/2)
P c 21 n|168|||||||
||4|a|1|(x,y,z)|(-x,y+1/2,-z)|(-x+1/2,y,z+1/2)|(x+1/2,y+1/2,-z+1/2)
P n 21 a|169|||||||
||4|a|1|(x,y,z)|(-x,y+1/2,-z)|(x+1/2,y,-z+1/2)|(-x+1/2,y+1/2,z+1/2)
P n n 2|170|||||||
||4|c|1|(x,y,z)|(-x,-y,z)|(x+1/2,-y+1/2,z+1/2)|(-x+1/2,y+1/2,z+1/2)
||2|b|..2|(0,1/2,z)|(1/2,0,z+1/2)||
||2|a|..2|(0,0,z)|(1/2,1/2,z+1/2)||
P 2 n n|171|||||||
||4|c|1|(x,y,z)|(x,-y,-z)|(x+1/2,y+1/2,-z+1/2)|(x+1/2,-y+1/2,z+1/2)
||2|b|..2|(x,0,1/2)|(x+1/2,1/2,0)||
||2|a|..2|(x,0,0)|(x+1/2,1/2,1/2)||
P n 2 n|172|||||||
||4|c|1|(x,y,z)|(-x,y,-z)|(-x+1/2,y+1/2,z+1/2)|(x+1/2,y+1/2,-z+1/2)
||2|b|..2|(1/2,y,0)|(0,y+1/2,1/2)||
||2|a|..2|(0,y,0)|(1/2,y+1/2,1/2)||
C m m 2|173|||||||
||8|f|1|(x,y,z)|(-x,-y,z)|(x,-y,z)|(-x,y,z)
||4|e|m..|(0,y,z)|(0,-y,z)||
||4|d|.m.|(x,0,z)|(-x,0,z)||
||4|c|..2|(1/4,1/4,z)|(1/4,3/4,z)||
||2|b|mm2|(0,1/2,z)|||
||2|a|mm2|(0,0,z)|||
A 2 m m|174|||||||
||8|f|1|(x,y,z)|(x,-y,-z)|(x,y,-z)|(x,-y,z)
||4|e|m..|(x,0,z)|(x,0,-z)||
||4|d|.m.|(x,y,0)|(x,-y,0)||
||4|c|..2|(x,1/4,1/4)|(x,1/4,3/4)||
||2|b|mm2|(x,0,1/2)|||
||2|a|mm2|(x,0,0)|||
B m 2 m|175|||||||
||8|f|1|(x,y,z)|(-x,y,-z)|(-x,y,z)|(x,y,-z)
||4|e|m..|(x,y,0)|(-x,y,0)||
||4|d|.m.|(0,y,z)|(0,y,-z)||
||4|c|..2|(1/4,y,1/4)|(3/4,y,1/4)||
||2|b|mm2|(1/2,y,0)|||
||2|a|mm2|(0,y,0)|||
C m c 21|176|||||||
||8|b|1|(x,y,z)|(-x,-y,z+1/2)|(x,-y,z+1/2)|(-x,y,z)
||4|a|m..|(0,y,z)|(0,-y,z+1/2)||
