0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 
0 (1+0) (0+1) 1 (6+3) 2 3 4 5 6 7 (3+6) 8 9 (15+7) 10 11 (5+12) 12 (7+15) 13 14 15 16 (19+17) 17 18 19 20 21 22 23 
0 1 (1+9) 2 (3+6) 3 4 5 6 7 8 9 (10+13) (6+14) 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 
0 1 2 (0+3)mR41 (3+0) 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 
0 1 2 (4+1) 3 4 5 (6+5) 6 (5+6) (7+2) (4+7) 7 8 9 10 11 12 13 14 15 16 17 18 19 (16+8) 20 21 22 23 24 25 
0 (10+0) 1 (1+12) (0+12) (6+1) 2 3 (5+18) 4 (1+16) (2+9) (17+3) 5 (8+0) (0+10) (12+0) 6 (9+2) 7 8 (8+9) (9+8) 9 10 (12+1) 11 12 13 14 15 16 
0 (6+0) 1 (1+15) (1+12) 2 3 4 (3+5) (6+3) (3+6) (3+8) (0+12) (25+1) 5 6 7 (0+6)mR5 8 (3+13) (5+3) 9 (8+3) (10+5) 10 11 (18+8) (12+1) (8+18) (11+22) (13+3) (11+25) 
0 (0+6) (13+0) 1 (1+3) (1+20) 2 (2+19) (2+5) (1+5) (2+5) (10+1) 3 (5+2) 4 (5+2) 5 (6+3) (5+9) 6 (4+9) (1+7) 7 (6+0) (1+10) (3+1) (7+1) 8 9 (0+13) 10 11 
0 1 (2+1) (8+1) (1+11) (1+9) 2 (2+4) 3 4 (20+0) (7+4) (2+13) 5 (0+20) 6 (11+1) 7 8 (1+8) 9 10 11 (12+14) 12 13 (4+7) 14 15 16 17 18 
0 (0+1) 1 2 (2+5) 3 4 5 (3+23) 6 7 (3+13) 8 (4+8) (0+3) 9 (5+2) 10 (15+4) 11 (0+21) 12 (21+0) 13 (13+3) 14 (4+15) 15 16 17 18 19 
0 1 2 3 4 (2+6) (2+5) (4+1) (1+14) 5 (6+2) (11+1) 6 (1+11) 7 8 9 (14+1) 10 (10+4) 11 12 (12+10) 13 14 (10+12) 15 16 17 18 19 20 
0 1 2 3 4 (4+1) 5 6 (1+7) 7 (5+9) 8 (8+5) 9 10 11 (11+8) 12 (8+3) 13 (5+8) (8+11) 14 15 16 17 18 (19+2) 19 (1+4) (9+5) 20 
0 1 2 3 4 5 (7+10) (3+1) 6 7 8 (8+14) 9 10 (1+3) 11 12 13 14 (8+5) 15 (10+0) 16 17 (0+13) 18 (7+1) 19 20 21 22 (10+7) 
0 1 2 3 (14+0) 4 5 (10+3) 6 7 (0+6) (6+8) 8 9 10 11 12 (8+10) 13 (8+6) (8+1) 14 (14+7) 15 16 (1+8) (6+0) 17 18 19 (7+12) 20 
0 (0+1) 1 (0+20) 2 3 4 (1+2) 5 6 (13+11) (8+12) (2+7) 7 8 (20+0) 9 10 11 12 13 (2+10) 14 (1+11) 15 16 17 18 19 (8+4) 20 (9+11) 
0 1 (0+2) (10+1) 2 3 (5+3) (21+0) (13+12) 4 5 (18+12) 6 7 (2+0) 8 9 10 11 12 13 14 15 16 (5+10) 17 (2+9) 18 19 20 21 (1+10) 
0 1 2 3 4 5 (0+6) (6+0) (4+7) (6+2) 6 7 (7+11) 8 (9+11) (7+4) 9 10 11 12 13 (16+4) 14 15 16 17 (2+6) (5+25) (0+12) 18 19 20 
0 (2+0) (1+0) 1 (0+2) (2+0) 2 3 (4+0) 4 5 6 (16+5) 7 8 9 (7+8) 10 11 12 13 (7+14) (7+16) 14 15 16 (14+6) 17 18 (8+7) 19 20 
0 (2+9)mR75 1 (21+3) (0+3) (0+6) 2 3 4 5 6 (17+0) (3+7) 7 8 (11+5) (8+11) 9 10 11 12 (11+8) (6+13) 13 14 15 16 (7+3) 17 18 19 20 
0 (11+13) 1 2 (8+2) 3 4 5 (7+25) (2+8) (14+0) (11+4) (4+10) (12+5) 6 (16+8) 7 (10+4) 8 9 10 11 (15+5) (8+16) 12 (11+21) 13 14 15 16 17 18 
0 1 2 (1+4) 3 4 5 (5+8) 6 (0+8) 7 (4+1) (5+19) 8 (6+10) 9 10 (1+16) 11 12 (6+7) 13 14 15 16 17 18 19 20 (16+1) 21 22 
(9+1) 0 1 2 (1+13) 3 (17+7) (3+18) 4 5 (11+3) (3+11) 6 7 8 9 10 11 (5+7) 12 13 14 15 16 17 18 19 20 21 22 23 24 
